date,strategy,cost_bps,gross_return,net_return
2025-07-07,Minimum CVaR,5,-0.00408367234074456,-0.00408367234074456
2025-07-08,Minimum CVaR,5,-0.00364343967069608,-0.00364343967069608
2025-07-09,Minimum CVaR,5,0.00556043130647811,0.00556043130647811
2025-07-10,Minimum CVaR,5,0.000802075955930634,0.000802075955930634
2025-07-11,Minimum CVaR,5,-0.00232257145882762,-0.00232257145882762
2025-07-14,Minimum CVaR,5,-0.000804939091120277,-0.000804939091120277
2025-07-15,Minimum CVaR,5,-0.00406995489420894,-0.00406995489420894
2025-07-16,Minimum CVaR,5,0.00290029155472915,0.00290029155472915
2025-07-17,Minimum CVaR,5,0.00103428984931634,0.00103428984931634
2025-07-18,Minimum CVaR,5,0.00189768681264159,0.00189768681264159
2025-07-21,Minimum CVaR,5,0.00613596968217751,0.00613596968217751
2025-07-22,Minimum CVaR,5,0.00387173108288487,0.00387173108288487
2025-07-23,Minimum CVaR,5,-0.00319523048489827,-0.00319523048489827
2025-07-24,Minimum CVaR,5,-0.00220862419917068,-0.00220862419917068
2025-07-25,Minimum CVaR,5,0.000605265597943297,0.000605265597943297
2025-07-28,Minimum CVaR,5,-0.00296949247821857,-0.00296949247821857
2025-07-29,Minimum CVaR,5,0.00492984773617327,0.00492984773617327
2025-07-30,Minimum CVaR,5,-0.00622566003449786,-0.00622566003449786
2025-07-31,Minimum CVaR,5,0.00122751630089277,0.00122751630089277
2025-08-01,Minimum CVaR,5,0.00924749839805201,0.00923994481474664
2025-08-04,Minimum CVaR,5,0.0043103128093249,0.0043103128093249
2025-08-05,Minimum CVaR,5,-0.000323501420798065,-0.000323501420798065
2025-08-06,Minimum CVaR,5,-7.12083992093447e-05,-7.12083992093447e-05
2025-08-07,Minimum CVaR,5,0.00118452508066752,0.00118452508066752
2025-08-08,Minimum CVaR,5,-0.000905174701659548,-0.000905174701659548
2025-08-11,Minimum CVaR,5,-0.00286295375785087,-0.00286295375785087
2025-08-12,Minimum CVaR,5,0.00113064265308754,0.00113064265308754
2025-08-13,Minimum CVaR,5,0.00417239653139641,0.00417239653139641
2025-08-14,Minimum CVaR,5,-0.00376856544886151,-0.00376856544886151
2025-08-15,Minimum CVaR,5,-0.00148719116325677,-0.00148719116325677
2025-08-18,Minimum CVaR,5,-0.00134618481051177,-0.00134618481051177
2025-08-19,Minimum CVaR,5,-0.000423780416686231,-0.000423780416686231
2025-08-20,Minimum CVaR,5,0.00261201885008361,0.00261201885008361
2025-08-21,Minimum CVaR,5,-0.00355525910943987,-0.00355525910943987
2025-08-22,Minimum CVaR,5,0.00874997858787685,0.00874997858787685
2025-08-25,Minimum CVaR,5,-0.00262668451542684,-0.00262668451542684
2025-08-26,Minimum CVaR,5,0.00314098380014005,0.00314098380014005
2025-08-27,Minimum CVaR,5,0.00136227652960275,0.00136227652960275
2025-08-28,Minimum CVaR,5,0.00358199171224888,0.00358199171224888
2025-08-29,Minimum CVaR,5,-0.000275553476132237,-0.000275553476132237
2025-09-02,Minimum CVaR,5,0.00210214105784806,0.00210214105784806
2025-09-03,Minimum CVaR,5,0.00579785297748281,0.00579785297748281
2025-09-04,Minimum CVaR,5,0.00383829802250205,0.00383829802250205
2025-09-05,Minimum CVaR,5,0.006768973970924,0.006768973970924
2025-09-08,Minimum CVaR,5,0.00548626391750713,0.00548626391750713
2025-09-09,Minimum CVaR,5,-0.00173250497483696,-0.00173250497483696
2025-09-10,Minimum CVaR,5,0.00314264169211563,0.00314264169211563
2025-09-11,Minimum CVaR,5,0.00290792185817067,0.00290792185817067
2025-09-12,Minimum CVaR,5,-0.00120448425725894,-0.00120448425725894
2025-09-15,Minimum CVaR,5,0.00455943722225646,0.00455943722225646
2025-09-16,Minimum CVaR,5,0.000292520924953357,0.000292520924953357
2025-09-17,Minimum CVaR,5,-0.00319382001278466,-0.00319382001278466
2025-09-18,Minimum CVaR,5,-0.00239739153120568,-0.00239739153120568
