date,strategy,cost_bps,turnover
2018-10-01,Equal Weight,10.0,0.0
2018-10-01,Equal Weight,25.0,0.0
2018-10-01,Minimum Variance,0.0,0.05556647180227851
2018-10-01,Minimum Variance,5.0,0.05556647180227851
2018-10-01,Minimum Variance,10.0,0.05556647180227851
2018-10-01,Minimum Variance,25.0,0.05556647180227851
2018-10-01,SPY,0.0,0.0
2018-10-01,SPY,5.0,0.0
2018-10-01,SPY,10.0,0.0
2018-10-01,SPY,25.0,0.0
2018-10-01,Shrunk Max Sharpe λ=0.25,0.0,0.21756718799829683
2018-10-01,Shrunk Max Sharpe λ=0.25,5.0,0.21756718799829683
2018-10-01,Shrunk Max Sharpe λ=0.25,10.0,0.21756718799829683
2018-10-01,Shrunk Max Sharpe λ=0.25,25.0,0.21756718799829683
2018-10-01,Shrunk Max Sharpe λ=0.50,0.0,0.11322276874975117
2018-10-01,Shrunk Max Sharpe λ=0.50,5.0,0.11322276874975117
2018-10-01,Shrunk Max Sharpe λ=0.50,10.0,0.11322276874975117
2018-10-01,Shrunk Max Sharpe λ=0.50,25.0,0.11322276874975117
2018-10-01,Shrunk Max Sharpe λ=0.75,0.0,0.04459014956706283
2018-10-01,Shrunk Max Sharpe λ=0.75,5.0,0.04459014956706283
2018-10-01,Shrunk Max Sharpe λ=0.75,10.0,0.04459014956706283
2018-10-01,Shrunk Max Sharpe λ=0.75,25.0,0.04459014956706283
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.10227777131220235
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.10227777131220235
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.10227777131220235
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.10227777131220235
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.08636999289991658
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.08636999289991658
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.08636999289991658
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.08636999289991658
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.02112709689245707
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.02112709689245707
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.02112709689245707
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.02112709689245707
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.11570482398252409
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.11570482398252409
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.11570482398252409
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.11570482398252409
2018-11-01,Maximum Sharpe,0.0,0.07415860084539866
2018-11-01,Maximum Sharpe,5.0,0.07415860084539866
2018-11-01,Maximum Sharpe,10.0,0.07415860084539866
2018-11-01,Maximum Sharpe,25.0,0.07415860084539866
2018-11-01,Equal Weight,0.0,0.0
2018-11-01,Equal Weight,5.0,0.0
2018-11-01,Equal Weight,10.0,0.0
2018-11-01,Equal Weight,25.0,0.0
2018-11-01,Minimum Variance,0.0,0.02277792272502065
2018-11-01,Minimum Variance,5.0,0.02277792272502065
2018-11-01,Minimum Variance,10.0,0.02277792272502065
2018-11-01,Minimum Variance,25.0,0.02277792272502065
2018-11-01,SPY,0.0,0.0
2018-11-01,SPY,5.0,0.0
2018-11-01,SPY,10.0,0.0
2018-11-01,SPY,25.0,0.0
2018-11-01,Shrunk Max Sharpe λ=0.25,0.0,0.1340020425184889
2018-11-01,Shrunk Max Sharpe λ=0.25,5.0,0.1340020425184889
2018-11-01,Shrunk Max Sharpe λ=0.25,10.0,0.1340020425184889
2018-11-01,Shrunk Max Sharpe λ=0.25,25.0,0.1340020425184889
2018-11-01,Shrunk Max Sharpe λ=0.50,0.0,0.03141726288470308
2018-11-01,Shrunk Max Sharpe λ=0.50,5.0,0.03141726288470308
2018-11-01,Shrunk Max Sharpe λ=0.50,10.0,0.03141726288470308
2018-11-01,Shrunk Max Sharpe λ=0.50,25.0,0.03141726288470308
2018-11-01,Shrunk Max Sharpe λ=0.75,0.0,0.018286014986588512
2018-11-01,Shrunk Max Sharpe λ=0.75,5.0,0.018286014986588512
2018-11-01,Shrunk Max Sharpe λ=0.75,10.0,0.018286014986588512
2018-11-01,Shrunk Max Sharpe λ=0.75,25.0,0.018286014986588512
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.09512144169718162
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.09512144169718162
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.09512144169718162
