date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2019-04-09,Equal Weight,0.0642299118798888,0.08427297351396246,0.5248410022290328
2019-04-10,Equal Weight,0.06083325433789577,0.08401788687469539,0.4860066809201551
2019-04-11,Equal Weight,0.05634621900020176,0.08412239799984353,0.4320635153585298
2019-04-12,Equal Weight,0.05913359225025161,0.08413771867610269,0.4651135408234758
2019-04-15,Equal Weight,0.058476282246684,0.08414697250473145,0.4572509396522915
2019-04-16,Equal Weight,0.05164964671621153,0.0841411294412924,0.37614953502964754
2019-04-17,Equal Weight,0.04342962888915536,0.0839113153044235,0.2792189444791152
2019-04-18,Equal Weight,0.044994916470224355,0.08392305926088801,0.2978313313451042
2019-04-22,Equal Weight,0.0488279623847212,0.08372175142662074,0.3443306177127449
2019-04-23,Equal Weight,0.06337971149382837,0.08354160845012003,0.5192587537948707
2019-04-24,Equal Weight,0.06618480922080372,0.08350085253386662,0.5531058404711723
2019-04-25,Equal Weight,0.07023431966014893,0.08335044243849671,0.6026880984730971
2019-04-26,Equal Weight,0.07827623576876874,0.08341249665798149,0.6986511386623561
2019-04-29,Equal Weight,0.06866089096414174,0.08308977039143915,0.5856423809441088
2019-04-30,Equal Weight,0.06520849069827372,0.08300569843062146,0.5446432179118434
2019-05-01,Equal Weight,0.06600185442503737,0.08296781693744051,0.5544541983034666
2019-05-02,Equal Weight,0.0639926124201704,0.0829866786155443,0.5301165579113816
2019-05-03,Equal Weight,0.07610216014438032,0.0834105395936704,0.672602771995946
2019-05-06,Equal Weight,0.07167948078231623,0.08350284271236404,0.6188948675715465
2019-05-07,Equal Weight,0.054067229029902686,0.08383478548776427,0.40636149817398665
2019-05-08,Equal Weight,0.049825401655574364,0.0838544086766153,0.35568078203969083
2019-05-09,Equal Weight,0.047544213017275405,0.08388296340081743,0.32836480616047226
2019-05-10,Equal Weight,0.048285394498461365,0.08390677087809455,0.3371050298140576
2019-05-13,Equal Weight,0.026664674461367444,0.0844850122740113,0.07888587906872548
2019-05-14,Equal Weight,0.031971162530238795,0.08466347647524392,0.14139701118627265
2019-05-15,Equal Weight,0.03895367839441599,0.08475768521133663,0.22362194469040161
2019-05-16,Equal Weight,0.05167253414042783,0.0841262307980798,0.3764882111080003
2019-05-17,Equal Weight,0.04250668121400314,0.08433200083516834,0.266881859686855
2019-05-20,Equal Weight,0.039006856268374746,0.0845083402409844,0.22491101131763683
2019-05-21,Equal Weight,0.04489535173120118,0.08468671108615171,0.2939699914178408
2019-05-22,Equal Weight,0.03873378989006038,0.0845813137420943,0.22148851869555408
2019-05-23,Equal Weight,0.035686233018642044,0.08467689986674751,0.18524807879512373
2019-05-24,Equal Weight,0.03583983451696238,0.08468173962080003,0.18705135945355217
2019-05-28,Equal Weight,0.03189391806651698,0.08473211804334337,0.14037083388418115
2019-05-29,Equal Weight,0.027660453261774354,0.08479957944182451,0.09033598176073142
2019-05-30,Equal Weight,0.033905169104959,0.08487608006313846,0.1638290681498849
2019-05-31,Equal Weight,0.026915756649853684,0.08467958368068781,0.0816697053676104
2019-06-03,Equal Weight,0.03257547256888005,0.08465683957897145,0.14854644505302042
2019-06-04,Equal Weight,0.03536965882366161,0.08483536799994439,0.18117041495796524
2019-06-05,Equal Weight,0.035178309753595816,0.08482999603811205,0.17892621080374177
2019-06-06,Equal Weight,0.037128313539812385,0.08486463951709936,0.2018309821060538
2019-06-07,Equal Weight,0.04236531599330551,0.08520139472443965,0.26249941172488944
2019-06-10,Equal Weight,0.04466300845279614,0.08517885630553772,0.28954378495444444
2019-06-11,Equal Weight,0.046068857033216615,0.08519292583468313,0.305997907429582
2019-06-12,Equal Weight,0.04402379590746475,0.0852004195379081,0.2819680470795789
2019-06-13,Equal Weight,0.047583497394964036,0.08527964587507958,0.32344760712737064
2019-06-14,Equal Weight,0.04789965692938569,0.08526827994055541,0.3271985426331559
2019-06-17,Equal Weight,0.04726932257380789,0.08524615031613075,0.31988919702157903
2019-06-18,Equal Weight,0.06052154989471292,0.085638697616121,0.47316868451634375
2019-06-19,Equal Weight,0.06758110268598716,0.08571880341160282,0.5550836081730304
2019-06-20,Equal Weight,0.07917222265288837,0.0860962143165577,0.6872801913836133
2019-06-21,Equal Weight,0.07310279658986896,0.08622850208260911,0.6158380965379071
2019-06-24,Equal Weight,0.07822805869247351,0.08614761427095088,0.6759102870723154
2019-06-25,Equal Weight,0.06862005466193022,0.08634332052872808,0.5631015157189072
2019-06-26,Equal Weight,0.07442118364062766,0.08597049844899765,0.633021613488879
2019-06-27,Equal Weight,0.07980983573023126,0.08617672277030022,0.6940370184376982
2019-06-28,Equal Weight,0.0896739869821066,0.08599247617245122,0.8102335237141077
2019-07-01,Equal Weight,0.0883690943471036,0.085958828038736,0.7953702476759471
2019-07-02,Equal Weight,0.09131978159885268,0.0860744367067527,0.828582612069043
2019-07-03,Equal Weight,0.09931880854531383,0.08618212950178183,0.9203625972560111
2019-07-05,Equal Weight,0.0905399628441097,0.08638634501709823,0.8165638079739096
2019-07-08,Equal Weight,0.07987575367824729,0.08629366177056916,0.6938603884656124
2019-07-09,Equal Weight,0.07377445234232272,0.0860992514578576,0.6245635290876288
2019-07-10,Equal Weight,0.07475975707991078,0.08614190237781351,0.6356924512734532
2019-07-11,Equal Weight,0.06977360552361467,0.08630817413733707,0.5766963097193191
2019-07-12,Equal Weight,0.07960970878967588,0.08608862565227451,0.6924225858878136
2019-07-15,Equal Weight,0.07427426179120156,0.08589416499653839,0.6318736760918376
2019-07-16,Equal Weight,0.07080831745984462,0.08596609046045675,0.5910274293934044
2019-07-17,Equal Weight,0.07477940099532066,0.08591925190874052,0.6375684119492196
