rebalance_date,strategy,asset,estimated_return
2019-11-01,Minimum Variance,TLT,0.057603114298957626
2019-11-01,Minimum Variance,QQQ,0.1975650898729837
2019-11-01,Minimum Variance,IEF,0.029392128455716725
2019-11-01,Minimum Variance,LQD,0.053256347223840324
2019-11-01,Minimum Variance,EFA,0.08750088419032896
2019-11-01,Minimum Variance,VNQ,0.10614285085882365
2019-11-01,Minimum Variance,EEM,0.0822025597056365
2019-11-01,Minimum Variance,IWM,0.11737410687193146
2019-11-01,Minimum Variance,SPY,0.14619095764973972
2019-11-01,Maximum Sharpe,GLD,0.05856376259635047
2019-11-01,Maximum Sharpe,TLT,0.057603114298957626
2019-11-01,Maximum Sharpe,QQQ,0.1975650898729837
2019-11-01,Maximum Sharpe,IEF,0.029392128455716725
2019-11-01,Maximum Sharpe,LQD,0.053256347223840324
2019-11-01,Maximum Sharpe,EFA,0.08750088419032896
2019-11-01,Maximum Sharpe,VNQ,0.10614285085882365
2019-11-01,Maximum Sharpe,EEM,0.0822025597056365
2019-11-01,Maximum Sharpe,IWM,0.11737410687193146
2019-11-01,Maximum Sharpe,SPY,0.14619095764973972
2020-04-01,Equal Weight,GLD,0.08129134813890879
2020-04-01,Equal Weight,TLT,0.1395800526709021
2020-04-01,Equal Weight,QQQ,0.15739806365267872
2020-04-01,Equal Weight,IEF,0.06905607871131142
2020-04-01,Equal Weight,LQD,0.05401485586193504
2020-04-01,Equal Weight,EFA,-0.0044859845888887105
2020-04-01,Equal Weight,VNQ,0.011429150447961148
2020-04-01,Equal Weight,EEM,0.0015578444865441837
2020-04-01,Equal Weight,IWM,-0.022325633380798793
2020-04-01,Equal Weight,SPY,0.06984215883472905
2020-04-01,Minimum Variance,GLD,0.08129134813890879
2020-04-01,Minimum Variance,TLT,0.1395800526709021
2020-04-01,Minimum Variance,QQQ,0.15739806365267872
2020-04-01,Minimum Variance,IEF,0.06905607871131142
2020-04-01,Minimum Variance,LQD,0.05401485586193504
2020-04-01,Minimum Variance,EFA,-0.0044859845888887105
2020-04-01,Minimum Variance,VNQ,0.011429150447961148
2020-04-01,Minimum Variance,EEM,0.0015578444865441837
2020-04-01,Minimum Variance,IWM,-0.022325633380798793
2020-04-01,Minimum Variance,SPY,0.06984215883472905
2020-04-01,Maximum Sharpe,GLD,0.08129134813890879
2020-04-01,Maximum Sharpe,TLT,0.1395800526709021
2020-04-01,Maximum Sharpe,QQQ,0.15739806365267872
2020-04-01,Maximum Sharpe,IEF,0.06905607871131142
2020-04-01,Maximum Sharpe,LQD,0.05401485586193504
2020-04-01,Maximum Sharpe,EFA,-0.0044859845888887105
2020-04-01,Maximum Sharpe,VNQ,0.011429150447961148
2020-04-01,Maximum Sharpe,EEM,0.0015578444865441837
2020-04-01,Maximum Sharpe,IWM,-0.022325633380798793
2020-04-01,Maximum Sharpe,SPY,0.06984215883472905
2020-05-01,Equal Weight,GLD,0.09924272210620612
2020-05-01,Equal Weight,TLT,0.13834055429611936
2020-05-01,Equal Weight,QQQ,0.1968835237925155
2020-05-01,Equal Weight,IEF,0.06612503542616506
2020-05-01,Equal Weight,LQD,0.06626820913950357
2020-05-01,Equal Weight,EFA,0.008012924417569473
