rebalance_date,strategy,turnover
2020-12-01,Turnover-Aware Max Sharpe γ=0.10,0.012664754700899207
2020-12-01,Turnover-Aware Max Sharpe γ=0.25,4.10613701718264e-13
2021-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.019498120891547663
2021-02-01,Equal Weight,0.0
2021-02-01,Maximum Sharpe,0.007099457914230865
2021-02-01,Minimum Variance,0.017384892896745503
2021-02-01,SPY,0.0
2021-02-01,Shrunk Max Sharpe λ=0.25,0.004396190046095006
2021-02-01,Shrunk Max Sharpe λ=0.50,0.02337209101126485
2021-02-01,Shrunk Max Sharpe λ=0.75,0.02258638026410678
2021-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0010133370553048727
2021-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0008361766027139212
2021-02-01,Turnover-Aware Max Sharpe γ=0.25,7.325188023175846e-15
2021-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0397993422560142
2021-03-01,Equal Weight,0.0
2021-03-01,Maximum Sharpe,0.023614585377739715
2021-03-01,Minimum Variance,0.017777265218387957
2021-03-01,SPY,0.0
2021-03-01,Shrunk Max Sharpe λ=0.25,0.033782468161129973
2021-03-01,Shrunk Max Sharpe λ=0.50,0.0356545304896531
2021-03-01,Shrunk Max Sharpe λ=0.75,0.09382051874458842
2021-03-01,Turnover-Aware Max Sharpe γ=0.05,0.020123603797303116
2021-03-01,Turnover-Aware Max Sharpe γ=0.10,0.020453126604020957
2021-03-01,Turnover-Aware Max Sharpe γ=0.25,0.01107614438273618
2021-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.033051968597361016
2021-04-01,Equal Weight,0.0
2021-04-01,Maximum Sharpe,0.05947206268029474
2021-04-01,Minimum Variance,0.013584911652274167
2021-04-01,SPY,0.0
2021-04-01,Shrunk Max Sharpe λ=0.25,0.07977553986907965
2021-04-01,Shrunk Max Sharpe λ=0.50,0.11062541180059822
2021-04-01,Shrunk Max Sharpe λ=0.75,0.03422991668928284
2021-04-01,Turnover-Aware Max Sharpe γ=0.05,0.03424152873954127
2021-04-01,Turnover-Aware Max Sharpe γ=0.10,0.02245451011458853
2021-04-01,Turnover-Aware Max Sharpe γ=0.25,0.017252571727778408
2021-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.15501884498723903
2021-06-01,Equal Weight,0.0
2021-06-01,Maximum Sharpe,0.10078386593415387
2021-06-01,Minimum Variance,0.01821563036983701
2021-06-01,SPY,0.0
2021-06-01,Shrunk Max Sharpe λ=0.25,0.16662583056721875
2021-06-01,Shrunk Max Sharpe λ=0.50,0.11422139765645652
2021-06-01,Shrunk Max Sharpe λ=0.75,0.025281071664941552
2021-06-01,Turnover-Aware Max Sharpe γ=0.05,0.09709004725552228
2021-06-01,Turnover-Aware Max Sharpe γ=0.10,0.08767226065656955
2021-06-01,Turnover-Aware Max Sharpe γ=0.25,0.036245945891618066
2021-07-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.011070437166495002
2021-07-01,Equal Weight,0.0
2021-07-01,Maximum Sharpe,0.06148873483207969
2021-07-01,Minimum Variance,0.0057720985522159
2021-07-01,SPY,0.0
2021-07-01,Shrunk Max Sharpe λ=0.25,0.09431876812069373
2021-07-01,Shrunk Max Sharpe λ=0.50,0.054611288905325975
2021-07-01,Shrunk Max Sharpe λ=0.75,0.015388986374928219
2021-07-01,Turnover-Aware Max Sharpe γ=0.05,0.035239290456503716
2021-07-01,Turnover-Aware Max Sharpe γ=0.10,0.015474400749628544
2021-07-01,Turnover-Aware Max Sharpe γ=0.25,5.100536299599752e-15
2021-09-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.002668880673288687
2021-09-01,Equal Weight,0.0
2021-09-01,Maximum Sharpe,0.0362210907450192
2021-09-01,Minimum Variance,0.00888274260248011
2021-09-01,SPY,0.0
2021-09-01,Shrunk Max Sharpe λ=0.25,0.07195872275262644
2021-09-01,Shrunk Max Sharpe λ=0.50,0.04169426198920463
2021-09-01,Shrunk Max Sharpe λ=0.75,0.012182789313117883
2021-09-01,Turnover-Aware Max Sharpe γ=0.05,0.011797748191304781
2021-09-01,Turnover-Aware Max Sharpe γ=0.10,0.0036290810663797152
2021-09-01,Turnover-Aware Max Sharpe γ=0.25,0.011913656337207961
2021-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,4.0918004056280716e-16
2021-10-01,Equal Weight,0.0
2021-10-01,Maximum Sharpe,0.01141299081815401
2021-10-01,Minimum Variance,0.010270888562017633
2021-10-01,SPY,0.0
2021-10-01,Shrunk Max Sharpe λ=0.25,0.04523834269708503
2021-10-01,Shrunk Max Sharpe λ=0.50,0.027474212374237098
2021-10-01,Shrunk Max Sharpe λ=0.75,0.005435860023476413
2021-10-01,Turnover-Aware Max Sharpe γ=0.05,9.57866933292231e-16
2021-10-01,Turnover-Aware Max Sharpe γ=0.10,0.0012533982551196617
2021-10-01,Turnover-Aware Max Sharpe γ=0.25,0.00027534782579891867
2021-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.013224237531728203
2021-11-01,Equal Weight,0.0
2021-11-01,Maximum Sharpe,0.06990358820538278
2021-11-01,Minimum Variance,0.006198607906516803
2021-11-01,SPY,0.0
2021-11-01,Shrunk Max Sharpe λ=0.25,0.08471702719281157
2021-11-01,Shrunk Max Sharpe λ=0.50,0.08209047231043734
2021-11-01,Shrunk Max Sharpe λ=0.75,0.033198515406369006
2021-11-01,Turnover-Aware Max Sharpe γ=0.05,0.058603221888863063
2021-11-01,Turnover-Aware Max Sharpe γ=0.10,0.04837483145934776
2021-11-01,Turnover-Aware Max Sharpe γ=0.25,0.002149718985404626
2021-12-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.008556956685900176
2021-12-01,Equal Weight,0.0
2021-12-01,Maximum Sharpe,0.0037997444380752617
2021-12-01,Minimum Variance,0.006304755322423234
2021-12-01,SPY,0.0
2021-12-01,Shrunk Max Sharpe λ=0.25,0.07794557774680189
2021-12-01,Shrunk Max Sharpe λ=0.50,0.06930443833994358
2021-12-01,Shrunk Max Sharpe λ=0.75,0.01773600506002761
2021-12-01,Turnover-Aware Max Sharpe γ=0.05,0.004096993912220722
2021-12-01,Turnover-Aware Max Sharpe γ=0.10,0.004403017820862954
2021-12-01,Turnover-Aware Max Sharpe γ=0.25,0.004777067970071915
2022-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.03297642853728856
2022-02-01,Equal Weight,0.0
2022-02-01,Maximum Sharpe,0.10177809525344328
2022-02-01,Minimum Variance,0.006655179051168666
2022-02-01,SPY,0.0
2022-02-01,Shrunk Max Sharpe λ=0.25,0.05249287737749066
2022-02-01,Shrunk Max Sharpe λ=0.50,0.09997012954198753
2022-02-01,Shrunk Max Sharpe λ=0.75,0.03145399827797278
2022-02-01,Turnover-Aware Max Sharpe γ=0.05,0.050916315843930096
2022-02-01,Turnover-Aware Max Sharpe γ=0.10,0.04647378580947052
2022-02-01,Turnover-Aware Max Sharpe γ=0.25,0.04035219096499234
2022-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.04335045769603616
2022-03-01,Equal Weight,0.0
2022-03-01,Maximum Sharpe,0.1579057347139472
2022-03-01,Minimum Variance,0.018307263360872905
2022-03-01,SPY,0.0
2022-03-01,Shrunk Max Sharpe λ=0.25,0.0832679157801005
2022-03-01,Shrunk Max Sharpe λ=0.50,0.053687309551956275
2022-03-01,Shrunk Max Sharpe λ=0.75,0.030950827071166587
2022-03-01,Turnover-Aware Max Sharpe γ=0.05,0.10633556127934399
2022-03-01,Turnover-Aware Max Sharpe γ=0.10,0.07894837549172415
2022-03-01,Turnover-Aware Max Sharpe γ=0.25,0.009784012789635773
2022-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.05110777375466519
2022-04-01,Equal Weight,0.0
2022-04-01,Maximum Sharpe,0.09421299091460084
2022-04-01,Minimum Variance,0.015087391674397233
2022-04-01,SPY,0.0
2022-04-01,Shrunk Max Sharpe λ=0.25,0.12490141008740892
2022-04-01,Shrunk Max Sharpe λ=0.50,0.07268426825415542
2022-04-01,Shrunk Max Sharpe λ=0.75,0.04531632962995087
2022-04-01,Turnover-Aware Max Sharpe γ=0.05,0.1444061436787014
2022-04-01,Turnover-Aware Max Sharpe γ=0.10,0.15540262158326656
2022-04-01,Turnover-Aware Max Sharpe γ=0.25,0.16272103405526936
2022-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.07600168488390943
2022-06-01,Equal Weight,0.0
2022-06-01,Maximum Sharpe,0.170699320051789
2022-06-01,Minimum Variance,0.04158574222421575
2022-06-01,SPY,0.0
2022-06-01,Shrunk Max Sharpe λ=0.25,0.0738506638851508
2022-06-01,Shrunk Max Sharpe λ=0.50,0.0797522667298119
2022-06-01,Shrunk Max Sharpe λ=0.75,0.05908132348924557
2022-06-01,Turnover-Aware Max Sharpe γ=0.05,0.1100399730669643
2022-06-01,Turnover-Aware Max Sharpe γ=0.10,0.10284647668904251
2022-06-01,Turnover-Aware Max Sharpe γ=0.25,0.08376604838073295
2022-07-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.04170448868439514
2022-07-01,Equal Weight,0.0
2022-07-01,Maximum Sharpe,0.06990897026885272
2022-07-01,Minimum Variance,0.028079402264027217
