date,strategy,asset,weight
2019-05-01,Minimum Variance,IEF,0.29999999999999993
2019-05-01,Minimum Variance,LQD,0.3
2019-05-01,Minimum Variance,GLD,0.11888144910170184
2019-05-01,Minimum Variance,VNQ,0.0
2019-05-01,Maximum Sharpe,SPY,0.2931448006712197
2019-05-01,Maximum Sharpe,QQQ,0.2999999999999997
2019-05-01,Maximum Sharpe,IWM,5.101125515581433e-17
2019-05-01,Maximum Sharpe,EFA,7.289565635467684e-18
2019-05-01,Maximum Sharpe,EEM,1.9236778470804136e-16
2019-05-01,Maximum Sharpe,TLT,0.1068551993287805
2019-05-01,Maximum Sharpe,IEF,0.0
2019-05-01,Maximum Sharpe,LQD,0.2999999999999999
2019-05-01,Maximum Sharpe,GLD,0.0
2019-05-01,Maximum Sharpe,VNQ,0.0
2019-07-01,Equal Weight,SPY,0.1
2019-07-01,Equal Weight,QQQ,0.1
2019-07-01,Equal Weight,IWM,0.1
2019-07-01,Equal Weight,EFA,0.1
2019-07-01,Equal Weight,EEM,0.1
2019-07-01,Equal Weight,TLT,0.1
2019-07-01,Equal Weight,IEF,0.1
2019-07-01,Equal Weight,LQD,0.1
2019-07-01,Equal Weight,GLD,0.1
2019-07-01,Equal Weight,VNQ,0.1
2019-07-01,Minimum Variance,SPY,0.13764981704174079
2019-07-01,Minimum Variance,QQQ,0.0
2019-07-01,Minimum Variance,IWM,0.036454927233754784
2019-07-01,Minimum Variance,EFA,0.05562375854875577
2019-07-01,Minimum Variance,EEM,2.510605681159233e-18
2019-07-01,Minimum Variance,TLT,0.048895751096164924
2019-07-01,Minimum Variance,IEF,0.3
2019-07-01,Minimum Variance,LQD,0.3
2019-07-01,Minimum Variance,GLD,0.12137574607958378
2019-07-01,Minimum Variance,VNQ,9.83597317911152e-18
2019-07-01,Maximum Sharpe,SPY,0.20029124134822227
2019-07-01,Maximum Sharpe,QQQ,0.2999999999999998
2019-07-01,Maximum Sharpe,IWM,2.0449873452742062e-17
2019-07-01,Maximum Sharpe,EFA,1.1760252380761645e-16
2019-07-01,Maximum Sharpe,EEM,0.0
2019-07-01,Maximum Sharpe,TLT,1.089739434111749e-16
2019-07-01,Maximum Sharpe,IEF,0.18253964008146006
2019-07-01,Maximum Sharpe,LQD,0.29999999999999993
2019-07-01,Maximum Sharpe,GLD,0.017169118570317485
2019-07-01,Maximum Sharpe,VNQ,1.7428185357606034e-16
2019-08-01,Equal Weight,SPY,0.1
2019-08-01,Equal Weight,QQQ,0.1
2019-08-01,Equal Weight,IWM,0.1
2019-08-01,Equal Weight,EFA,0.1
2019-08-01,Equal Weight,EEM,0.1
2019-08-01,Equal Weight,TLT,0.1
2019-08-01,Equal Weight,IEF,0.1
2019-08-01,Equal Weight,LQD,0.1
2019-08-01,Equal Weight,GLD,0.1
2019-08-01,Equal Weight,VNQ,0.1
