strategy,model,factor,coefficient,hac_se,hac_tstat,hac_pvalue,hac_ci_low,hac_ci_high
Minimum Variance,FF3,MKT_RF,0.21232539868231246,0.014122661383415782,15.034375810471943,4.3714940506162926e-51,0.18464549100496291,0.240005306359662
Minimum Variance,FF3,SMB,0.04087162028493514,0.01664145666743476,2.4560121810079143,0.01404883953321107,0.008254964566479062,0.07348827600339122
Minimum Variance,FF3,HML,-0.07648181372329113,0.014661483754643016,-5.216512530600512,1.8232324705501977e-07,-0.10521779384231053,-0.04774583360427173
Minimum Variance,FF5,MKT_RF,0.2163996676273905,0.01427543413121499,15.158885231672642,6.6183129684059756e-52,0.18842033086653528,0.2443790043882457
Minimum Variance,FF5,SMB,0.03916233279122948,0.017580719378811106,2.2275728283581664,0.025909014270099787,0.004704755986454319,0.07361990959600465
Minimum Variance,FF5,HML,-0.08930465215679652,0.0183513828319516,-4.866371813752812,1.1366558794076537e-06,-0.12527270157392834,-0.053336602739664715
Minimum Variance,FF5,RMW,-0.017846778050535996,0.021680325208866036,-0.8231785214752068,0.41040648116521383,-0.06033943463302925,0.024645878531957262
Minimum Variance,FF5,CMA,0.05918368212851581,0.028427001002846734,2.081953074212403,0.03734675618936477,0.0034677839744522154,0.1148995802825794
Minimum Variance,FF5_MOM,MKT_RF,0.21667165736383498,0.014248643235237467,15.20647641931249,3.203265436056324e-52,0.18874482979420926,0.2445984849334607
Minimum Variance,FF5_MOM,SMB,0.04198175259439507,0.01894621087628825,2.2158389806025274,0.026702531758070937,0.004847861633369047,0.0791156435554211
Minimum Variance,FF5_MOM,HML,-0.08696934492546769,0.020326758261510085,-4.27856443248746,1.8810254197646935e-05,-0.12680905904047945,-0.04712963081045592
Minimum Variance,FF5_MOM,RMW,-0.015941944324604607,0.021897100659601147,-0.7280390482935738,0.4665896833490286,-0.05885947298327112,0.026975584334061907
Minimum Variance,FF5_MOM,CMA,0.0557476809390304,0.03026906516627927,1.8417377818835035,0.06551351484553226,-0.0035785966325728655,0.11507395851063368
Minimum Variance,FF5_MOM,MOM,0.0063810520421919885,0.012856603758461127,0.49632485857647446,0.6196652304220659,-0.018817428287894115,0.03157953237227809
Maximum Sharpe,CAPM,MKT_RF,0.5344343815759405,0.026958247697483676,19.82452226024414,1.8290965884093605e-87,0.48159718700256265,0.5872715761493184
Maximum Sharpe,FF3,MKT_RF,0.5201104381160532,0.022607601514738375,23.00599812753167,4.059476824080407e-117,0.4758003533703328,0.5644205228617736
Maximum Sharpe,FF3,SMB,-0.023823397141994638,0.021908534442553477,-1.0874025921022759,0.2768589261275691,-0.06676333560345477,0.019116541319465486
Maximum Sharpe,FF3,HML,-0.19038685666655614,0.016167374869655166,-11.775990734519098,5.190366960982927e-32,-0.2220743291356382,-0.15869938419747406
