date,strategy,stress_period,rolling_window,RF,strategy_return,actual_excess_return,alpha_component,MKT_RF_component,SMB_component,HML_component,RMW_component,CMA_component,MOM_component,predicted_excess_return,residual_component,factor_component
2022-03-08,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0006165214390314,-0.0006165214390314,-3.951260243230777e-05,-0.0016955298721234844,0.0005914147915192819,-0.0004538981864902981,-0.0007880260052265537,-0.00017068602337207077,-0.00016080549628165542,-0.0027170433944070887,0.002100521955375689,-0.002677530791974781
2022-03-09,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.00644505501584,0.00644505501584,-3.951260243230777e-05,0.008925525175895323,5.9141479151928195e-06,0.003283196882279823,-0.0002884738054847135,-0.001123682987199466,-0.00018581968459213514,0.010577147126381718,-0.004132092110541718,0.010616659728814025
2022-03-10,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0070671530484861,-0.0070671530484861,-3.951260243230777e-05,-0.0015035830941472087,0.00017742443745578457,-0.001785332866861839,-0.00022515028720758679,0.00024180519977710024,0.0001733125904368953,-0.002961036622979162,-0.004106116425506939,-0.0029215240205468546
2022-03-11,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0063581665708688,-0.0063581665708688,-3.951260243230777e-05,-0.004734687190080674,-7.096977498231381e-05,-0.002662869360743082,0.0006824868080979974,0.0004551627289921887,0.0002340613334766318,-0.006136328057671559,-0.00022183851319724102,-0.006096815455239252
2022-03-14,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0134539550555555,-0.0134539550555555,-3.951260243230777e-05,-0.003327077484921554,-0.0004967884248761968,-0.0027082591793921116,0.001540872278076922,7.11191764050295e-05,0.00023763478894955745,-0.0047220114481906625,-0.008731943607364838,-0.004682498845758354
2022-03-15,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0045983212780279,0.0045983212780279,-3.951260243230777e-05,0.006878092877482059,-0.00028979324784444814,0.0035857956732733543,0.0005417678785932557,-0.0007040798464097848,-0.00013936476344410137,0.009832905969218028,-0.005234584691190128,0.009872418571650336
2022-03-16,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.017033919849073,0.017033919849073,-3.951260243230777e-05,0.008317693712303885,0.00026022250826848405,0.0027990388166901714,-0.000816169791127502,-0.001123682987199466,-0.00038593319107597306,0.009011656465427294,0.008022263383645707,0.009051169067859601
2022-03-17,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0044875364530657,0.0044875364530657,-3.951260243230777e-05,0.0045427404121043975,9.462636664308511e-05,0.0016037735922657197,-0.001132787382513171,-0.000142238352810059,-0.0001250709415523969,0.004801531091705268,-0.00031399463863956804,0.004841043694137575
2022-03-18,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0056889842175589,0.0056889842175589,-3.951260243230777e-05,0.004222829115477357,-0.00011236881038866356,0.0028292986957895246,-0.0003869770561380398,-0.0005974010818022477,-0.00018045950138274663,0.0057354087591228765,-4.6424541563976594e-05,0.005774921361555184
2022-03-21,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0094061688535768,-0.0094061688535768,-3.951260243230777e-05,-0.0005438492042660233,-0.000555929904028119,-0.0024813100861469477,-0.00013368298302950465,0.0011023472342779571,0.00028587643783405407,-0.0023660611077908913,-0.007040107745785909,-0.002326548505358583
2022-03-22,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0009721908536423,0.0009721908536423,-3.951260243230777e-05,0.004158846856151943,-0.00013011125413424203,0.0018004628064115006,-0.0005769476109694341,-0.0007325275169718038,-0.0001554453130722669,0.0043247653649833885,-0.0033525745113410885,0.004364277967415696
2022-03-23,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0007679522565454,0.0007679522565454,-3.951260243230777e-05,-0.003998891207838406,-0.00036667717074195474,-0.0006051975819870641,-0.00035883327023709146,0.0010810114813564482,0.00014115149118056422,-0.004146948860699812,0.004914901117245212,-0.0041074362582675045
2022-03-24,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0031918103987857,0.0031918103987857,-3.951260243230777e-05,0.0045427404121043975,-0.00018925273328617023,0.0012406550430734662,-0.00033772543081138015,-9.245492932653834e-05,-4.109473793864527e-05,0.005083355021382822,-0.001891544622597122,0.0051228676238151295
2022-03-25,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.004944653288859,-0.004944653288859,-3.951260243230777e-05,0.0008957516305558031,-0.00017742443745578457,-0.0033134567613791756,0.00014071892950474175,0.000974332716748904,0.00020190023422030068,-0.0013176902902375187,-0.0036269629986214816,-0.001278177687805211
2022-03-28,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0024355991989022,0.0024355991989022,-3.951260243230777e-05,0.0023353524653776294,-0.0005145308686217752,0.0026023496025443754,0.00035179732376185434,-0.0008818777874223656,-9.648329776899326e-05,0.003757094835438417,-0.0013214956365362172,0.0037966074378707245
2022-03-29,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0113676138548127,0.0113676138548127,-3.951260243230777e-05,0.004574731541767137,0.0007037836019079395,0.002904948393537907,-0.00022515028720758679,-0.0007040798464097848,-0.00036091900276549326,0.006853801798397813,0.004513812056414887,0.00689331440083012
2022-03-30,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0002602144459845,-0.0002602144459845,-3.951260243230777e-05,-0.0026232726323419625,-0.0006623845665015958,-0.0006051975819870641,0.00026033001958377224,0.0006542964229262713,0.00018581968459213514,-0.0028299212561607523,0.002569706810176252,-0.002790408653728444
2022-03-31,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0050733889417603,-0.0050733889417603,-3.951260243230777e-05,-0.004926633968056917,0.00036667717074195474,0.000680847279735447,-0.0001547908224552159,0.000284476705620118,7.325583719497456e-05,-0.003715680399651947,-0.001357708542108353,-0.0036761677972196385
2022-04-01,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0022696195917255,0.0022696195917255,-3.951260243230777e-05,0.0012476540568455827,0.0003430205790811835,0.0009229263125302576,-0.000647307075721812,3.555958820251475e-05,-3.0374371519868246e-05,0.0018319664869855506,0.0004376531047399492,0.0018714790894178584
2022-04-04,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.003383308704869,0.003383308704869,-3.951260243230777e-05,0.002975175058631774,-0.000325278135335605,0.002814168756239848,-0.0005417678785932557,-0.0004978342348351993,-0.0002733693436788142,0.00411158161999644,-0.0007282729151274398,0.004151094222428747
