strategy,window,factor,mean,median,std,min,max,p05,p25,p75,p95
Maximum Sharpe,504,beta_HML,-0.12004712366282402,-0.10077658811091042,0.06174995098474459,-0.27657507424594263,-0.024220153818319462,-0.2606962778628503,-0.14031678358045735,-0.0791368615831102,-0.04888536477808496
Maximum Sharpe,504,beta_RMW,0.0210497821729386,0.032789854205438326,0.05803033619179684,-0.14666353644290298,0.11490793891203444,-0.09842750167526869,-0.025289415380331484,0.06552059905995414,0.09738354655450789
Maximum Sharpe,504,beta_CMA,0.006968974927264574,0.022447593420171354,0.12430557649934545,-0.2801427110651015,0.23189134357003138,-0.2528494056944626,-0.059063198142449494,0.09337298246240198,0.17672516152962292
Maximum Sharpe,504,beta_MOM,0.014394617494311222,0.01800200794359095,0.07083326664319195,-0.15998025434729396,0.12217498887862221,-0.13125277874403576,-0.014470772904313272,0.07672211335226894,0.10281149800594551
Minimum Variance,252,beta_MKT_RF,0.20697506107589847,0.19970689288740245,0.05199702961304425,0.0935015140433339,0.3610030449112974,0.12207668453541928,0.17829632923587616,0.23159927875319133,0.3159004038053298
Minimum Variance,252,beta_SMB,0.03805042140645343,0.03479823093067618,0.04074590554700233,-0.06212311495138765,0.27239117392873846,-0.029319787525445437,0.0110597466565034,0.06439499704108194,0.09998442554993439
Minimum Variance,252,beta_HML,-0.08624705210030666,-0.11286996433978766,0.09865096828062803,-0.24372844926962867,0.11723428258135161,-0.2143800363023126,-0.17147793036224637,-0.004474973435374948,0.0819142453625126
Minimum Variance,252,beta_RMW,0.008611893544514757,0.0002962507868070896,0.0767480768302335,-0.19459990498913238,0.1669740027532691,-0.11002256965732009,-0.03732254109514287,0.07868994267599676,0.12870809914740056
Minimum Variance,252,beta_CMA,0.09756145090478124,0.09051486074043794,0.10548823837669205,-0.13228038023417332,0.33630909129767994,-0.09084719964535193,0.03491198414448252,0.18603591333654104,0.2636504983247831
Minimum Variance,252,beta_MOM,-0.01040773758795875,-0.015598358860004578,0.09048536825072435,-0.1970420563034916,0.23885811196725446,-0.14900696090054763,-0.07828661900167629,0.0426735576280431,0.15919922494186253
Minimum Variance,504,beta_MKT_RF,0.20918625921826703,0.2057439140085908,0.025435046529569183,0.14721187464764612,0.2965885405750006,0.161807396625372,0.19863615987816202,0.21919078700629194,0.2630646830326182
Minimum Variance,504,beta_SMB,0.04725754755563664,0.05238202662979058,0.028866456113553807,-0.03756368839462342,0.13891750135583592,-0.004268357305789059,0.025927136163980215,0.06810030118465343,0.08807401007866904
Minimum Variance,504,beta_HML,-0.07281038892574579,-0.062474843578215464,0.07089196225021754,-0.18603286745768965,0.05262750894404432,-0.17569208074681877,-0.13927779165823675,-0.022684081784521144,0.04535112789779787
Minimum Variance,504,beta_RMW,0.01941111941695739,0.02356206793479127,0.05515865125567318,-0.09455793043755543,0.11652794483592992,-0.07052803230957884,-0.030240893644820955,0.06960686082388759,0.09853120130475738
Minimum Variance,504,beta_CMA,0.07260633549055087,0.07007417235319613,0.09193372787370038,-0.09033362229342187,0.26249975451054397,-0.0793126842941831,-0.0026397142640160916,0.14496980357207137,0.21294015667981916
Minimum Variance,504,beta_MOM,-0.003389860765859386,-0.017538298475488018,0.07550772912557457,-0.12254499704393357,0.1323199329661062,-0.10451001039904162,-0.06570655256836941,0.04558872940412153,0.1272572510550653
SPY,252,beta_MKT_RF,0.988753576936668,0.9882327715630344,0.015203595192446634,0.956291877716563,1.039233165751568,0.9670303280213854,0.9779063039543474,0.9947926605333941,1.0190775162120271
SPY,252,beta_SMB,-0.0967603356531258,-0.0968472974730806,0.015628216566470586,-0.1362433430655461,-0.048867469128915195,-0.12484730344033121,-0.10481827598729405,-0.08739374732781124,-0.07541537574072252
SPY,252,beta_HML,-0.000575479615974722,-0.0016562367913091347,0.01220322765206478,-0.025710743849817877,0.02555797098344878,-0.019215845340483585,-0.010383741538733105,0.00885230378259513,0.020779886646707945
SPY,252,beta_RMW,0.05319508392913473,0.04672520310081234,0.024511090297397356,0.01234741627233063,0.10558465351573976,0.02166273365704987,0.035171138214557,0.0719743366072341,0.09890146284859415
SPY,252,beta_CMA,0.046493955081452036,0.048707360385235654,0.022563760301413886,-0.002264089682475691,0.08859023968694196,0.009736178272123806,0.025829500828968323,0.06646898607532849,0.07929338398142301
SPY,252,beta_MOM,-0.014002968627093364,-0.010672248660618305,0.014770475963965206,-0.05865865241167501,0.011154028226981192,-0.04490587138756915,-0.023280106767146425,-0.003678301304959884,0.006245850705856935
SPY,504,beta_MKT_RF,0.9861810488969962,0.9889157119004507,0.013912958981464812,0.9601715809243913,1.0101624114147776,0.9675310283239722,0.9725525311095075,0.9939363618131003,1.0082476961479567
SPY,504,beta_SMB,-0.0974711153288919,-0.10112704514028625,0.010499900528214237,-0.12650382205551888,-0.07949149049717627,-0.11253956803279402,-0.1050144792722951,-0.08729025720811105,-0.08119040462108516
SPY,504,beta_HML,0.0041535320806801584,0.007865668745915416,0.0117390966593056,-0.022591466797768772,0.02544820630715873,-0.014692527766281374,-0.006772048450083274,0.013140035788967854,0.02097031755706177
SPY,504,beta_RMW,0.05974533561692596,0.055978177652731276,0.020102334690744194,0.02283986199779172,0.0959847828926665,0.03363152568117408,0.04156930858019284,0.07880652589429185,0.08954334010769016
SPY,504,beta_CMA,0.04504036530017697,0.05212378890999459,0.015414293351360008,0.009730800793725243,0.06925626220535604,0.013831734850500692,0.03220275575362847,0.055436684776637074,0.06071481767935564
SPY,504,beta_MOM,-0.01688096046588644,-0.01685596843342103,0.009893101926112775,-0.03758315133472079,0.002094063956108147,-0.03658571720741321,-0.020508141099699013,-0.009965492791012498,-0.0013371810704948465
