strategy,model,window,window_start,window_end,n_obs,alpha_daily,alpha_annualized,alpha_hac_se,alpha_hac_tstat,alpha_hac_pvalue,r_squared,adjusted_r_squared,residual_std,condition_number,beta_MKT_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
Maximum Sharpe,FF5_MOM,504,2023-03-10,2025-03-13,504,0.00010501065735380405,0.02646268565315862,0.00013130828643593743,0.7997260508386618,0.42386953607458044,0.8475519936570599,0.8457115750694187,0.024818163024868663,278.6155261454444,0.7946859203921703,-0.036236588645312234,-0.13135503204977936,-0.043615111678745974,0.02767504608216048,-0.022604202639715007
Maximum Sharpe,FF5_MOM,504,2023-03-13,2025-03-14,504,8.080569017466432e-05,0.02036303392401541,0.00012768789654034736,0.6328375074228825,0.5268397605832036,0.8510932917667176,0.8492956252689314,0.024605493934979614,278.300859887015,0.7952856706825837,-0.03148612224346628,-0.13532059769519875,-0.04470381718088516,0.017694826686249984,-0.024991788447147122
Maximum Sharpe,FF5_MOM,504,2023-03-14,2025-03-17,504,7.396791412419308e-05,0.018639914359296655,0.00012678362345454957,0.5834185213259007,0.5596115925351088,0.8515894015215799,0.8497977242763676,0.024563965207559164,278.1147949912855,0.796647318077526,-0.031140374815475776,-0.12974625010481264,-0.042450169487374165,0.01927459246816484,-0.022543705781440146
Maximum Sharpe,FF5_MOM,504,2023-03-15,2025-03-18,504,8.858895913141964e-05,0.02232441770111775,0.0001281642159043617,0.6912144587809613,0.48943077886641817,0.8503633149304464,0.8485568358350393,0.024624647612570945,278.07079849098164,0.796464041007056,-0.03164229306767636,-0.12823170691227637,-0.042225091309203086,0.01701828772154753,-0.02355633703011367
Maximum Sharpe,FF5_MOM,504,2023-03-16,2025-03-19,504,7.827289727097985e-05,0.019724770112286922,0.00012647878169259235,0.6188618851597,0.5360073495043252,0.8511525517480939,0.8493556006625578,0.0245875611574239,278.64844351160025,0.7968205796899646,-0.032857916551081535,-0.12340575399802284,-0.04468506698143346,0.018242460715714302,-0.020433720726676492
Maximum Sharpe,FF5_MOM,504,2023-03-17,2025-03-20,504,7.46374518139398e-05,0.018808637857112828,0.00012602385640123577,0.5922485943955601,0.5536841332799437,0.8500961587962653,0.8482864544758983,0.024591011893317898,278.40322629628207,0.7964444241703095,-0.03231732251219863,-0.12372612693551527,-0.04444063680379822,0.018386144610729127,-0.020228140105943107
Maximum Sharpe,FF5_MOM,504,2023-03-20,2025-03-21,504,4.805061648784928e-05,0.012108755354938017,0.00012378790432039725,0.38816891481966626,0.6978910355158503,0.852129032863227,0.850343870282099,0.024426688111170596,278.6165379789581,0.7999721863014577,-0.03282914036259836,-0.1161160673945231,-0.04578086315798997,0.019952022205582044,-0.018379378790090446
Maximum Sharpe,FF5_MOM,504,2023-03-21,2025-03-24,504,4.002865334998574e-05,0.010087220644196407,0.0001244604025643215,0.3216175789669234,0.7477424247814606,0.8515137967956649,0.8497212068173429,0.02451017134629464,278.62245549336257,0.797875031519814,-0.0337714516767398,-0.11568160065132423,-0.04543569741142947,0.021538128416591674,-0.01893190995390475
Maximum Sharpe,FF5_MOM,504,2023-03-22,2025-03-25,504,5.392404885849656e-05,0.013588860312341133,0.00012458598265121916,0.43282597055447214,0.6651412045713478,0.8528527056157773,0.8510762795266318,0.024399042890044038,278.66786069719694,0.8015087300804837,-0.03746703915144464,-0.11156762291468114,-0.04754892441715668,0.011496382060781081,-0.022025563205840093
Maximum Sharpe,FF5_MOM,504,2023-03-23,2025-03-26,504,4.0337941637092285e-05,0.010165161292547256,0.00012321786266902805,0.327370892201262,0.7433873792621156,0.8546518414808146,0.85289713534175,0.024279286377394405,279.0535872746448,0.8049812983949673,-0.03941375254462527,-0.10875372875386947,-0.050144427240687635,0.009499264826782674,-0.024173097854037512
Maximum Sharpe,FF5_MOM,504,2023-03-24,2025-03-27,504,4.346503818750521e-05,0.010953189623251314,0.00012344029930150524,0.3521138431570151,0.7247528870502757,0.8539732699394103,0.8522103717897854,0.024315558380365337,279.3733792523967,0.8042124577494649,-0.039097247486554805,-0.10568226082086002,-0.05053939601775001,0.01124298054966026,-0.022747684159988152
Maximum Sharpe,FF5_MOM,504,2023-03-27,2025-03-28,504,5.869500761558208e-05,0.014791141919126685,0.0001241518770979489,0.472767782393455,0.636378861785148,0.8544266868970248,0.8526692625939708,0.024352721485165343,279.38742975164536,0.8018541476248341,-0.038428423766086114,-0.10475925182697704,-0.0502647003040845,0.014826010495833222,-0.020863168292612935
Maximum Sharpe,FF5_MOM,504,2023-03-28,2025-03-31,504,7.178216415249466e-05,0.018089105366428652,0.00012470862944165522,0.5755990140688528,0.5648862476243539,0.8548722375258152,0.8531201921035916,0.024318769968667244,279.2974891936504,0.8028619072816111,-0.038741082284466426,-0.1014636590516821,-0.04907200055503152,0.016584884560087994,-0.018315947583518396
Maximum Sharpe,FF5_MOM,504,2023-03-29,2025-04-01,504,6.581718906677956e-05,0.01658593164482845,0.00012463017310666304,0.5280999570661818,0.5974299606371559,0.8549709918061452,0.8532201385885132,0.02431090289526826,279.22146215337943,0.8027870072461126,-0.038684787803900784,-0.10248208075123333,-0.04948189284254194,0.015953038814542735,-0.01938425482227354
Maximum Sharpe,FF5_MOM,504,2023-03-30,2025-04-02,504,6.589057211962366e-05,0.016604424174145163,0.0001239488919812934,0.5315946844411322,0.595006747122232,0.8547684275999192,0.8530151289391537,0.024300336175070412,280.3003498367748,0.8041290304049128,-0.04182736174312732,-0.1020894460900161,-0.05163639240256361,0.015387386153101448,-0.021517108130047494
Maximum Sharpe,FF5_MOM,504,2023-03-31,2025-04-03,504,8.612020805283552e-05,0.02170229242931455,0.00012589708392146383,0.6840524448251588,0.4939420495363026,0.8561878665788654,0.8544517040023527,0.02456033634900853,279.52836116814757,0.7853818560954413,-0.04059410451142248,-0.10060340113563973,-0.06281318028257188,0.0074848466481184026,-0.01258892232640757
